OrganRus,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Samples
ВЕРХНЕЧЕЛЮСТНАЯ АРТЕРИЯ,1.74460000,0.87210000,1.74510000,0.88770000,1.77690000,0.90330000,1.78570000,8.17760000,2
ВЕРХНЯЯ  БРЫЖЕЕЧНАЯ  ВЕНА,1.71000000,1.12300000,1.81200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЕРХНЯЯ БРЫЖЕЕЧНАЯ АРТЕРИЯ,1.74820000,-0.17130000,1.01490000,-1.23230000,1.81190000,-0.17380000,0.10160000,-0.69320000,2
ВЕРХНЯЯ МОЗЖЕЧКОВАЯ АРТЕРИЯ,1.78800000,1.97000000,2.27600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЕРХНЯЯ ПОДЖЕЛУДОЧНО-ДВЕНАДЦАТИПЕРСТНАЯ АРТЕРИЯ,1.65200000,1.11800000,1.28400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЕРХНЯЯ ПОЛАЯ ВЕНА,1.63530000,2.21920000,-0.00910000,2.16510000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЕРХНЯЯ ЩИТОВИДНАЯ АРТЕРИЯ,1.78320000,1.84570000,1.90820000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЕРХУШКА,1.77220000,0.99870000,1.54930000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЕРХУШКА СЕРДЦА,1.80330000,0.91110000,2.84470000,0.92680000,1.87210000,1.09240000,0.95020000,0.95800000,2
ВЕУТРЕННЯЯ  ЭЛАСТИЧЕСКАЯ  МЕМБРАНА.,1.67600000,1.11200000,1.03400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВИСОЧНАЯ ДОЛЯ,1.75630000,0.00000000,1.87500000,0.00000000,2.06550000,0.00000000,0.00000000,0.04290000,1
