# x,y
-0.1957142857,-1.5176615012
-0.1958043307,-1.5176615012
-0.1958943758,-1.5176615012
-0.1959844208,-1.5176615012
-0.1960744658,-1.5176615012
-0.1961194883,-1.5176164787
-0.1961645108,-1.5175714562
-0.1962545558,-1.5175714562
-0.1962995784,-1.5175264336
-0.1963446009,-1.5174814111
-0.1964346459,-1.5174814111
-0.1964796684,-1.5174363886
-0.1965246909,-1.5173913661
-0.1965697134,-1.5173463436
-0.1966147359,-1.5173013211
-0.1966597585,-1.5172562986
-0.1967047810,-1.5172112761
-0.1967498035,-1.5171662536
-0.1967948260,-1.5171212310
-0.1968848710,-1.5171212310
-0.1969749160,-1.5171212310
-0.1970649611,-1.5171212310
-0.1971550061,-1.5171212310
-0.1972000286,-1.5170762085
-0.1972450511,-1.5170311860
-0.1972900736,-1.5169861635
-0.1973350961,-1.5169411410
-0.1973801186,-1.5168961185
-0.1973801186,-1.5168060735
-0.1974251411,-1.5167610510
-0.1974701637,-1.5167160284
-0.1974701637,-1.5166259834
-0.1974701637,-1.5165359384
-0.1975151862,-1.5164909159
-0.1975602087,-1.5164458934
-0.1975602087,-1.5163558484
-0.1975602087,-1.5162658033
-0.1975602087,-1.5161757583
-0.1975602087,-1.5160857133
-0.1975602087,-1.5159956683
-0.1976052312,-1.5159506458
-0.1976502537,-1.5159056232
-0.1976502537,-1.5158155782
-0.1976952762,-1.5157705557
-0.1977402987,-1.5158155782
-0.1977402987,-1.5159056232
-0.1977402987,-1.5159956683
-0.1977402987,-1.5160857133
-0.1977853212,-1.5161307358
-0.1978303437,-1.5161757583
-0.1978303437,-1.5162658033
-0.1978753663,-1.5163108258
-0.1979203888,-1.5163558484
-0.1979654113,-1.5164008709
-0.1980104338,-1.5164458934
-0.1980104338,-1.5165359384
-0.1980554563,-1.5165809609
-0.1981004788,-1.5166259834
-0.1981455013,-1.5166710059
-0.1982355463,-1.5166710059
-0.1982805689,-1.5167160284
-0.1983255914,-1.5167610510
-0.1984156364,-1.5167610510
-0.1984606589,-1.5167160284
-0.1985056814,-1.5166710059
-0.1985507039,-1.5166259834
-0.1985957264,-1.5165809609
-0.1986857715,-1.5165809609
-0.1987307940,-1.5165359384
-0.1987758165,-1.5164909159
-0.1988658615,-1.5164909159
-0.1989559065,-1.5164909159
-0.1990459515,-1.5164909159
-0.1991359966,-1.5164909159
