sweep,W22
50,0.3383642568157017
51,0.2580314983263352
52,0.3221688744744838
53,0.23031854398812573
54,0.39713799262112376
55,0.30430252026644605
56,0.17076916717398327
57,0.2995106676406154
58,0.07729973005362947
59,0.009683537080486537
60,0.057227633843818876
61,0.296118307165618
62,0.3291916710329962
63,0.21974392843744356
64,0.42193441491829753
65,0.40092820271544494
66,0.06070072877694053
67,-0.05427344073615699
68,0.05821252850035081
69,-0.10213033135447297
70,0.04569924927331958
71,-0.08929297860513798
72,-0.18292461718715808
73,0.23536237094680704
74,0.21645283978222385
75,-0.10087433356582594
76,0.029826346059322013
77,-0.02027249126116636
78,0.05753907784880092
79,0.18513474528882576
80,-0.09808035707234873
81,0.08011287621945139
82,0.09549350499587475
83,-0.2507230566223939
84,-0.1924114316785014
85,-0.022535234018890057
86,0.04188004946686473
87,-0.005307870079951718
88,0.02098987343779611
89,0.15021511065255114
90,0.06740724026601083
91,-3.0457866306470363e-06
92,0.13961167391529689
93,-0.04978626148357898
94,0.035811492147601404
95,-0.192352440448709
96,-0.06008891920825055
97,-0.004550136530073995
98,-0.14477598013125909
99,-0.09237356752624167
100,-0.021993597784701887
101,0.1621424104985711
102,0.17608623791222874
103,-0.2502543811050111
104,-0.029100861312020707
105,-0.05071623499115984
106,-0.16761308585632137
107,-0.0913084111341643
108,-0.12227500247799912
109,0.04036737250981831
110,0.09572646628147022
111,-0.07918957262397336
112,-0.06897830005968775
113,0.18148841845617358
114,-0.042075515722116555
115,-0.1023508710545278
116,0.13384634571499132
117,0.12540226127569853
118,0.13329216583728415
119,0.20924687442873122
120,-0.11395109589035061
121,0.06020874335277967
122,-0.07934382845192704
123,0.048705920408593985
124,0.1926493941247776
125,-0.11279486179382049
126,0.09908457029438705
127,0.0318519065374893
128,-0.048184916346248906
129,-0.059671679249637406
130,0.08217929719998536
131,-0.007022731565054625
132,0.014346951411325514
133,-0.13138975465226757
134,0.1926532908835099
135,-0.005706647890775303
136,0.00911655103133054
137,-0.07069828010773944
138,0.10004976832153734
139,-0.09633375295515528
140,0.21856260040815945
141,0.3632495210846596
142,-0.09564209531967495
143,-0.08355590252137128
144,-0.00762427903883281
145,-0.061617630208996646
146,-0.20664572861790545
147,0.05962176235088244
148,-0.17412757723860828
149,0.11851588938834996
SUMMARY,0.118516
