curve,rk,det,L
11.a1,0,0,0.06905276253536237
14.a1,0,0,1.06979554169095
37.a1,1,0,1.8048137105773037
43.a1,1,0,0.2593551050198491
389.a1,2,0,1.3859734153830077
5077.a1,3,0,1.3824105017187858
SUMMARY,2,6,
