L,beta,avg_P,sigma,mass_gap,time_s
8,2.4,-0.09531966677332444,1.0953196667733245,1.0465752083693385,1122.818797826767

meas,P
0,-0.07297541133491925
10,-0.1022289832748521
20,-0.09112336715441459
30,-0.09985504520724613
40,-0.10319999739334301
50,-0.08396435280202807
60,-0.10831977895108764
70,-0.09946781464817885
80,-0.0892668574201791
90,-0.10279505954699564
