arch,bulbs,prime_hits,time_s
small,17,1000,0.661402702331543
medium,54,0,0.661402702331543
large,1188,0,0.661402702331543

p,q,re,im
1,64,0.25239604323529086,0.0002359896607482398
1,63,0.25247226572056475,0.00024738749805893606
1,62,0.25255217638282396,0.00025953097155106963
1,61,0.2526360165334551,0.00027248203712999797
1,60,0.2527240475006852,0.0002863089293868998
1,59,0.2528165526506019,0.00030108691627662304
1,58,0.25291383964965813,0.00031689915921486594
1,57,0.25301624300211584,0.0003338376954456976
1,56,0.25312412690116537,0.0003520045625753296
1,55,0.25323788843869177,0.0003715130888292187
1,54,0.25335796122601556,0.0003924893770050758
1,53,0.2534848194866558,0.00041507401543697947
1,52,0.253618982692514,0.0004394240557720891
1,51,0.2537610208272155,0.0004657153052627719
1,50,0.25391156037508117,0.0004941449909384305
1,49,0.2540712911518657,0.0005249348648761615
1,48,0.2542409741146381,0.0005583348343956018
1,47,0.2544214503137959,0.0005946272190679169
1,46,0.2546136511812156,0.0006341317588672291
1,45,0.25481861038620546,0.0006772115257829281
1,44,0.255037477536842,0.000724279926285154
1,43,0.25527153406045366,0.0007758090261930362
1,42,0.25552221166602906,0.0008323394853611693
1,41,0.2557911138764416,0.0008944924606391624
1,40,0.2560800412237805,0.0009629839263785855
1,39,0.25639102083217,0.0010386419785120005
1,38,0.25672634127620253,0.001122427839196083
1,37,0.2570885938085832,0.0012154614754101428
1,36,0.2574807213096269,0.0013190530020479874
1,35,0.25790607663938053,0.001434741378982654
1,34,0.2583684924908619,0.0015643423614969398
1,33,0.2588723653773352,0.001710008265123214
1,32,0.25942275707379353,0.0018743029167916786
2,63,0.25971719095667,0.001964372531025105
1,31,0.2600255177211896,0.0020602962660003915
2,61,0.2603486164259277,0.002162556650283795
1,30,0.26068743595625266,0.0022716846399296192
2,59,0.261043001695205,0.002388265372717621
1,29,0.26141642293730405,0.002512944715445886
2,57,0.2618089011393234,0.0026464367290869872
1,28,0.262221739115307,0.0027895321987676663
2,55,0.2626563512983271,0.0029431084020768578
1,27,0.26311427520905883,0.003108140321104541
2,53,0.26359718429151857,0.0032857135420635702
1,26,0.26410690229972356,0.003477039132836743
2,51,0.2646454194460586,0.0036834708451860543
1,25,0.26521491055334967,0.0039065250569985666
2,49,0.2658177554886674,0.004147903953769211
1,24,0.2664565621984245,0.004409522551260384
2,47,0.26713419271215344,0.004693540287663639
1,23,0.2678537925372775,0.005002398069653746
2,45,0.268618823930053,0.0053388618501983565
1,22,0.2694331035994534,0.005706074056815447
2,43,0.2703008454817335,0.006107614490007324
3,64,0.2706027647904681,0.006249780372330621
1,21,0.2712267093140716,0.006547572689546588
3,62,0.2718787678982053,0.0068645077129808885
2,41,0.2722158558357859,0.0070306342429410085
3,61,0.27256060602248844,0.007202141612618007
1,20,0.2732740095538399,0.007562184114355414
3,59,0.27402089475144975,0.00794651637634905
2,39,0.2744075301226975,0.008148430841241533
3,58,0.2748033191649903,0.008357211269548692
1,19,0.27562349350121895,0.008796556429924773
3,56,0.2764837945371763,0.009267080512900178
2,37,0.2769297841509322,0.00951489804711822
3,55,0.27738677915999177,0.009771583155497449
1,18,0.27833519961320974,0.010313169241199543
3,53,0.2793320200266554,0.010895288169568973
2,35,0.27984956881896583,0.011202730555743196
3,52,0.28038043429993215,0.011521778961069012
1,17,0.28148388539701313,0.012196922181937159
3,50,0.28264608608877284,0.012925499860166806
2,33,0.28325045698176876,0.013311474959635777
3,49,0.283871041148579,0.013712864788815449
1,16,0.2851630709590065,0.014565020885908025
4,63,0.2861789014136856,0.015250685822417759
3,47,0.2865268364195538,0.015488716612265085
2,31,0.28723717604119364,0.015979730749379306
3,46,0.28796736494806296,0.01649155385358972
4,61,0.2883401175191791,0.016755611217583455
1,15,0.2894900772315859,0.017582115168551543
4,59,0.290689541661197,0.018463400420154458
3,44,0.2911008141909379,0.018770112912378623
2,29,0.2919411386400216,0.019404036998223184
3,43,0.2928058633568505,0.020066564493274514
4,57,0.29324764329629677,0.020409055019121602
1,14,0.2946119834865262,0.02148399894177161
4,55,0.29603724443681967,0.022634989141041867
3,41,0.2965264257388683,0.023036701115123237
2,27,0.2975266722360096,0.02386879191147015
3,40,0.29855694902106567,0.02474100127603651
4,53,0.2990836757187556,0.025192899195436214
1,13,0.300711826143816,0.026615619548470165
5,64,0.3020680739192769,0.027830965337362512
