x,y
-1.161000000000000032e+00,0.000000000000000000e+00
-1.193400000000000016e+00,0.000000000000000000e+00
-1.276999999999999913e+00,0.000000000000000000e+00
-1.254999999999999893e+00,0.000000000000000000e+00
-1.310599999999999987e+00,0.000000000000000000e+00
-1.271500000000000075e+00,0.000000000000000000e+00
-1.187999999999999945e+00,0.000000000000000000e+00
-1.166700000000000070e+00,0.000000000000000000e+00
-1.213000000000000078e+00,0.000000000000000000e+00
-1.334000000000000075e+00,0.000000000000000000e+00
-1.278599999999999959e+00,0.000000000000000000e+00
-1.280499999999999972e+00,0.000000000000000000e+00
-1.209000000000000075e+00,0.000000000000000000e+00
-1.235000000000000098e+00,0.000000000000000000e+00
-1.356999999999999984e+00,0.000000000000000000e+00
-1.211999999999999966e+00,0.000000000000000000e+00
-1.354000000000000092e+00,0.000000000000000000e+00
-1.230399999999999938e+00,0.000000000000000000e+00
-1.242799999999999905e+00,0.000000000000000000e+00
-1.250000000000000000e+00,0.000000000000000000e+00
-1.254999999999999893e+00,0.000000000000000000e+00
-1.245999999999999996e+00,0.000000000000000000e+00
-1.283199999999999896e+00,0.000000000000000000e+00
-1.254599999999999937e+00,0.000000000000000000e+00
-1.216800000000000104e+00,0.000000000000000000e+00
-1.154300000000000104e+00,0.000000000000000000e+00
-1.346000000000000085e+00,0.000000000000000000e+00
-1.235999999999999988e+00,0.000000000000000000e+00
-1.269500000000000073e+00,0.000000000000000000e+00
-1.221999999999999975e+00,0.000000000000000000e+00
-1.338999999999999968e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00
-1.243700000000000028e+00,0.000000000000000000e+00
-1.193400000000000016e+00,0.000000000000000000e+00
-1.265400000000000080e+00,0.000000000000000000e+00
-1.244299999999999962e+00,0.000000000000000000e+00
-1.233000000000000096e+00,0.000000000000000000e+00
-1.354000000000000092e+00,0.000000000000000000e+00
-1.257300000000000084e+00,0.000000000000000000e+00
-1.216800000000000104e+00,0.000000000000000000e+00
-1.255400000000000071e+00,0.000000000000000000e+00
-1.290000000000000036e+00,0.000000000000000000e+00
-1.251800000000000024e+00,0.000000000000000000e+00
-1.211999999999999966e+00,0.000000000000000000e+00
-1.348000000000000087e+00,0.000000000000000000e+00
-1.364700000000000024e+00,0.000000000000000000e+00
-1.216800000000000104e+00,0.000000000000000000e+00
-1.227800000000000002e+00,0.000000000000000000e+00
-1.196700000000000097e+00,0.000000000000000000e+00
-1.324000000000000066e+00,0.000000000000000000e+00
-1.243700000000000028e+00,0.000000000000000000e+00
-1.242399999999999949e+00,0.000000000000000000e+00
-1.254999999999999893e+00,0.000000000000000000e+00
-1.257300000000000084e+00,0.000000000000000000e+00
-1.269600000000000062e+00,0.000000000000000000e+00
-1.291299999999999892e+00,0.000000000000000000e+00
-1.290000000000000036e+00,0.000000000000000000e+00
-1.293800000000000061e+00,0.000000000000000000e+00
-1.300000000000000044e+00,0.000000000000000000e+00
-1.245999999999999996e+00,0.000000000000000000e+00
-1.154300000000000104e+00,0.000000000000000000e+00
-1.279300000000000104e+00,0.000000000000000000e+00
-1.177699999999999969e+00,0.000000000000000000e+00
-1.240199999999999969e+00,0.000000000000000000e+00
-1.221999999999999975e+00,0.000000000000000000e+00
-1.250000000000000000e+00,0.000000000000000000e+00
-1.242799999999999905e+00,0.000000000000000000e+00
-1.250000000000000000e+00,0.000000000000000000e+00
-1.364700000000000024e+00,0.000000000000000000e+00
-1.267600000000000060e+00,0.000000000000000000e+00
-1.250000000000000000e+00,0.000000000000000000e+00
-1.235999999999999988e+00,0.000000000000000000e+00
-1.286499999999999977e+00,0.000000000000000000e+00
-1.269600000000000062e+00,0.000000000000000000e+00
-1.279300000000000104e+00,0.000000000000000000e+00
-1.250000000000000000e+00,0.000000000000000000e+00
-1.368999999999999995e+00,0.000000000000000000e+00
-1.364700000000000024e+00,0.000000000000000000e+00
