第1环质量,第2环质量,第3环质量,公差,最大公约数
25974,35658,45342,9684,18
25074,35658,46242,10584,126
24318,35658,46998,11340,126
23598,35658,47718,12060,18
23142,35658,48174,12516,42
23058,35658,48258,12600,126
22302,35658,49014,13356,126
21294,35658,50022,14364,126
18942,35658,52374,16716,42
18522,35658,52794,17136,126
18354,35658,52962,17304,42
16758,35658,54558,18900,126
16470,35658,54846,19188,18
15498,35658,55818,20160,126
10962,35658,60354,24696,126
4590,35658,66726,31068,18
32994,35670,38346,2676,6
32370,35670,38970,3300,30
31482,35670,39858,4188,6
31410,35670,39930,4260,30
27990,35670,43350,7680,30
26070,35670,45270,9600,30
23166,35670,48174,12504,6
19170,35670,52170,16500,30
18450,35670,52890,17220,1230
13398,35670,57942,22272,174
7770,35670,63570,27900,30
7590,35670,63750,28080,30
6210,35670,65130,29460,30
33570,35730,37890,2160,90
33330,35730,38130,2400,30
30330,35730,41130,5400,90
29790,35730,41670,5940,90
29754,35730,41706,5976,18
27630,35730,43830,8100,90
27390,35730,44070,8340,30
18414,35730,53046,17316,18
17250,35730,54210,18480,30
3990,35730,67470,31740,30
34902,35742,36582,840,42
33726,35742,37758,2016,42
33138,35742,38346,2604,42
32802,35742,38682,2940,42
31626,35742,39858,4116,42
30366,35742,41118,5376,42
29946,35742,41538,5796,966
29754,35742,41730,5988,6
26418,35742,45066,9324,1554
25974,35742,45510,9768,222
25530,35742,45954,10212,5106
25350,35742,46134,10392,6
24738,35742,46746,11004,42
24486,35742,46998,11256,42
18522,35742,52962,17220,42
16926,35742,54558,18816,42
15498,35742,55986,20244,42
15246,35742,56238,20496,42
13398,35742,58086,22344,42
13110,35742,58374,22632,138
10290,35742,61194,25452,42
8610,35742,62874,27132,42
7770,35742,63714,27972,1554
7350,35742,64134,28392,42
6210,35742,65274,29532,138
34110,35970,37830,1860,30
32010,35970,39930,3960,330
31770,35970,40170,4200,30
30810,35970,41130,5160,30
27918,35970,44022,8052,66
27750,35970,44190,8220,30
26622,35970,45318,9348,6
25542,35970,46398,10428,66
24210,35970,47730,11760,30
22410,35970,49530,13560,30
19866,35970,52074,16104,66
13566,35970,58374,22404,6
5130,35970,66810,30840,30
35010,36018,37026,1008,18
34146,36018,37890,1872,18
34110,36018,37926,1908,18
31626,36018,40410,4392,18
30366,36018,41670,5652,18
30330,36018,41706,5688,18
29526,36018,42510,6492,6
28314,36018,43722,7704,18
28014,36018,44022,8004,4002
27918,36018,44118,8100,54
26970,36018,45066,9048,174
25290,36018,46746,10728,18
24318,36018,47718,11700,18
21150,36018,50886,14868,18
19866,36018,52170,16152,6
19710,36018,52326,16308,54
14790,36018,57246,21228,174
13950,36018,58086,22068,18
11250,36018,60786,24768,18
34470,36090,37710,1620,90
32994,36090,39186,3096,18
32382,36090,39798,3708,18
32310,36090,39870,3780,90
32190,36090,39990,3900,30
32010,36090,40170,4080,30
31770,36090,40410,4320,90
30114,36090,42066,5976,18
29358,36090,42822,6732,18
28458,36090,43722,7632,18
27990,36090,44190,8100,90
23166,36090,49014,12924,18
21294,36090,50886,14796,18
20010,36090,52170,16080,30
18522,36090,53658,17568,18
8610,36090,63570,27480,30
6270,36090,65910,29820,30
35658,36234,36810,576,18
35178,36234,37290,1056,66
34710,36234,37758,1524,6
33966,36234,38502,2268,54
33030,36234,39438,3204,18
29358,36234,43110,6876,18
28314,36234,44154,7920,198
27990,36234,44478,8244,18
26070,36234,46398,10164,66
25470,36234,46998,10764,18
24738,36234,47730,11496,6
24210,36234,48258,12024,18
20130,36234,52338,16104,4026
16650,36234,55818,19584,18
10890,36234,61578,25344,198
9990,36234,62478,26244,54
5130,36234,67338,31104,54
35970,36498,37026,528,66
33138,36498,39858,3360,42
24822,36498,48174,11676,42
24738,36498,48258,11760,42
23058,36498,49938,13440,42
22110,36498,50886,14388,66
21750,36498,51246,14748,6
20034,36498,52962,16464,42
16758,36498,56238,19740,42
16422,36498,56574,20076,42
7350,36498,65646,29148,42
6270,36498,66726,30228,66
4830,36498,68166,31668,42
4290,36498,68706,32208,66
35406,36582,37758,1176,42
33726,36582,39438,2856,42
33306,36582,39858,3276,546
32994,36582,40170,3588,78
31746,36582,41418,4836,78
31626,36582,41538,4956,42
29946,36582,43218,6636,42
28098,36582,45066,8484,42
26418,36582,46746,10164,42
23142,36582,50022,13440,42
22638,36582,50526,13944,42
21750,36582,51414,14832,6
16926,36582,56238,19656,546
14790,36582,58374,21792,6
11466,36582,61698,25116,546
10290,36582,62874,26292,42
9030,36582,64134,27552,42
35730,36810,37890,1080,90
35658,36810,37962,1152,18
34110,36810,39510,2700,90
29790,36810,43830,7020,90
26622,36810,46998,10188,18
26586,36810,47034,10224,18
25074,36810,48546,11736,18
24090,36810,49530,12720,30
23598,36810,50022,13212,18
21294,36810,52326,15516,18
19470,36810,54150,17340,30
16758,36810,56862,20052,18
15810,36810,57810,21000,30
15246,36810,58374,21564,18
9870,36810,63750,26940,30
35046,36918,38790,1872,18
33966,36918,39870,2952,18
33894,36918,39942,3024,126
32382,36918,41454,4536,126
31806,36918,42030,5112,18
31770,36918,42066,5148,18
30114,36918,43722,6804,126
29358,36918,44478,7560,126
28602,36918,45234,8316,126
25290,36918,48546,11628,18
24822,36918,49014,12096,126
22302,36918,51534,14616,126
20034,36918,53802,16884,126
18522,36918,55314,18396,126
17670,36918,56166,19248,6
16254,36918,57582,20664,126
15498,36918,58338,21420,126
14994,36918,58842,21924,126
11070,36918,62766,25848,18
10962,36918,62874,25956,126
5130,36918,68706,31788,18
36090,37026,37962,936,18
34110,37026,39942,2916,18
32382,37026,41670,4644,18
31230,37026,42822,5796,18
30330,37026,43722,6696,18
28098,37026,45954,8928,18
27918,37026,46134,9108,198
24354,37026,49698,12672,198
24210,37026,49842,12816,18
23430,37026,50622,13596,66
23166,37026,50886,13860,198
22638,37026,51414,14388,66
21714,37026,52338,15312,66
20130,37026,53922,16896,66
18414,37026,55638,18612,198
16470,37026,57582,20556,18
16254,37026,57798,20772,18
15210,37026,58842,21816,18
12690,37026,61362,24336,18
6270,37026,67782,30756,66
5610,37026,68442,31416,1122
5130,37026,68922,31896,18
4950,37026,69102,32076,198
36582,37206,37830,624,78
35730,37206,38682,1476,18
34902,37206,39510,2304,18
34470,37206,39942,2736,18
33030,37206,41382,4176,18
32994,37206,41418,4212,702
32382,37206,42030,4824,18
28458,37206,45954,8748,54
28170,37206,46242,9036,18
28014,37206,46398,9192,6
24390,37206,50022,12816,18
23166,37206,51246,14040,702
21150,37206,53262,16056,18
16926,37206,57486,20280,78
16470,37206,57942,20736,54
11070,37206,63342,26136,54
7590,37206,66822,29616,6
6630,37206,67782,30576,78
36234,37290,38346,1056,66
34710,37290,39870,2580,30
34410,37290,40170,2880,30
31230,37290,43350,6060,30
28182,37290,46398,9108,66
27258,37290,47322,10032,66
24738,37290,49842,12552,6
23166,37290,51414,14124,66
22410,37290,52170,14880,30
21150,37290,53430,16140,30
18942,37290,55638,18348,66
18414,37290,56166,18876,66
16470,37290,58110,20820,30
15246,37290,59334,22044,66
13950,37290,60630,23340,30
7770,37290,66810,29520,30
36090,37638,39186,1548,18
35670,37638,39606,1968,246
35406,37638,39870,2232,18
34146,37638,41130,3492,18
33894,37638,41382,3744,18
33570,37638,41706,4068,18
30366,37638,44910,7272,18
30330,37638,44946,7308,18
28530,37638,46746,9108,18
24390,37638,50886,13248,18
24354,37638,50922,13284,2214
21870,37638,53406,15768,54
20130,37638,55146,17508,6
18414,37638,56862,19224,54
11070,37638,64206,26568,2214
37290,37710,38130,420,30
36918,37710,38502,792,18
36234,37710,39186,1476,18
35010,37710,40410,2700,90
33966,37710,41454,3744,18
32310,37710,43110,5400,90
31230,37710,44190,6480,90
30186,37710,45234,7524,18
29946,37710,45474,7764,6
28098,37710,47322,9612,18
23250,37710,52170,14460,30
16530,37710,58890,21180,30
14790,37710,60630,22920,30
10290,37710,65130,27420,30
8610,37710,66810,29100,30
5610,37710,69810,32100,30
35658,37758,39858,2100,42
35574,37758,39942,2184,42
32382,37758,43134,5376,42
28458,37758,47058,9300,186
27258,37758,48258,10500,42
26970,37758,48546,10788,5394
23142,37758,52374,14616,1218
22134,37758,53382,15624,1302
22110,37758,53406,15648,6
21714,37758,53802,16044,42
19350,37758,56166,18408,6
18942,37758,56574,18816,42
17250,37758,58266,20508,6
15834,37758,59682,21924,1218
12750,37758,62766,25008,6
11718,37758,63798,26040,1302
9870,37758,65646,27888,42
7350,37758,68166,30408,42
35730,37830,39930,2100,30
35670,37830,39990,2160,30
33990,37830,41670,3840,30
32310,37830,43350,5520,30
30186,37830,45474,7644,78
29526,37830,46134,8304,6
28602,37830,47058,9228,6
25974,37830,49686,11856,78
24738,37830,50922,13092,6
18414,37830,57246,19416,6
9750,37830,65910,28080,390
5850,37830,69810,31980,390
4410,37830,71250,33420,30
36810,37890,38970,1080,90
34110,37890,41670,3780,90
31806,37890,43974,6084,18
31626,37890,44154,6264,18
28458,37890,47322,9432,18
24066,37890,51714,13824,18
17766,37890,58014,20124,18
17670,37890,58110,20220,30
14994,37890,60786,22896,18
9870,37890,65910,28020,30
8970,37890,66810,28920,30
34470,37926,41382,3456,18
34146,37926,41706,3780,126
33030,37926,42822,4896,18
28854,37926,46998,9072,126
28530,37926,47322,9396,18
28098,37926,47754,9828,126
27258,37926,48594,10668,42
24930,37926,50922,12996,18
24318,37926,51534,13608,126
23058,37926,52794,14868,126
21294,37926,54558,16632,126
20706,37926,55146,17220,42
20034,37926,55818,17892,126
19866,37926,55986,18060,1806
17766,37926,58086,20160,126
15498,37926,60354,22428,126
13986,37926,61866,23940,126
11718,37926,64134,26208,126
9030,37926,66822,28896,1806
7410,37926,68442,30516,6
6510,37926,69342,31416,42
34470,37962,41454,3492,18
33894,37962,42030,4068,18
31806,37962,44118,6156,1026
31770,37962,44154,6192,18
29790,37962,46134,8172,18
29526,37962,46398,8436,4218
28602,37962,47322,9360,18
28170,37962,47754,9792,18
27750,37962,48174,10212,222
24390,37962,51534,13572,18
24210,37962,51714,13752,18
23598,37962,52326,14364,1026
21714,37962,54210,16248,6
20286,37962,55638,17676,18
19350,37962,56574,18612,18
13986,37962,61938,23976,1998
13950,37962,61974,24012,18
11718,37962,64206,26244,54
8910,37962,67014,29052,54
5130,37962,70794,32832,1026
37290,38130,38970,840,30
36090,38130,40170,2040,30
32190,38130,44070,5940,30
28530,38130,47730,9600,30
28014,38130,48246,10116,6
26418,38130,49842,11712,6
24090,38130,52170,14040,30
22110,38130,54150,16020,30
18450,38130,57810,19680,1230
16926,38130,59334,21204,186
12690,38130,63570,25440,30
37926,38346,38766,420,42
35574,38346,41118,2772,462
35310,38346,41382,3036,66
32214,38346,44478,6132,42
31746,38346,44946,6600,66
31626,38346,45066,6720,42
29946,38346,46746,8400,42
29370,38346,47322,8976,66
28098,38346,48594,10248,42
26070,38346,50622,12276,66
24354,38346,52338,13992,66
24318,38346,52374,14028,42
23430,38346,53262,14916,66
22134,38346,54558,16212,42
20706,38346,55986,17640,42
18354,38346,58338,19992,42
15498,38346,61194,22848,42
14994,38346,61698,23352,42
12558,38346,64134,25788,42
9870,38346,66822,28476,42
8910,38346,67782,29436,66
8250,38346,68442,30096,66
7770,38346,68922,30576,42
7590,38346,69102,30756,66
7350,38346,69342,30996,42
6510,38346,70182,31836,42
5610,38346,71082,32736,66
3990,38346,72702,34356,42
37206,38502,39798,1296,54
33894,38502,43110,4608,18
33030,38502,43974,5472,18
31770,38502,45234,6732,18
29946,38502,47058,8556,4278
28458,38502,48546,10044,1674
27990,38502,49014,10512,18
25470,38502,51534,13032,18
25290,38502,51714,13212,18
24930,38502,52074,13572,18
24210,38502,52794,14292,18
23598,38502,53406,14904,1242
17670,38502,59334,20832,186
16650,38502,60354,21852,18
15810,38502,61194,22692,186
11730,38502,65274,26772,138
11466,38502,65538,27036,18
9990,38502,67014,28512,54
8910,38502,68094,29592,54
6210,38502,70794,32292,1242
37926,38682,39438,756,126
37758,38682,39606,924,42
36234,38682,41130,2448,18
35658,38682,41706,3024,126
34902,38682,42462,3780,126
34146,38682,43218,4536,126
31410,38682,45954,7272,18
31230,38682,46134,7452,18
30366,38682,46998,8316,126
30330,38682,47034,8352,18
25290,38682,52074,13392,18
24318,38682,53046,14364,126
23058,38682,54306,15624,126
21330,38682,56034,17352,18
19350,38682,58014,19332,18
18942,38682,58422,19740,42
18522,38682,58842,20160,126
15498,38682,61866,23184,126
13986,38682,63378,24696,126
13566,38682,63798,25116,42
11718,38682,65646,26964,126
11466,38682,65898,27216,126
5250,38682,72114,33432,42
4590,38682,72774,34092,18
38346,38766,39186,420,42
37926,38766,39606,840,42
34710,38766,42822,4056,78
32214,38766,45318,6552,546
32190,38766,45342,6576,6
29358,38766,48174,9408,42
24738,38766,52794,14028,42
24486,38766,53046,14280,42
21714,38766,55818,17052,42
21294,38766,56238,17472,546
20286,38766,57246,18480,42
15834,38766,61698,22932,546
13398,38766,64134,25368,42
9750,38766,67782,29016,78
8610,38766,68922,30156,42
7350,38766,70182,31416,42
4830,38766,72702,33936,42
4290,38766,73242,34476,78
3990,38766,73542,34776,42
37710,38790,39870,1080,90
37638,38790,39942,1152,18
36090,38790,41490,2700,90
35670,38790,41910,3120,30
35406,38790,42174,3384,18
34470,38790,43110,4320,90
32310,38790,45270,6480,90
31626,38790,45954,7164,18
25542,38790,52038,13248,18
24318,38790,53262,14472,18
23430,38790,54150,15360,30
19470,38790,58110,19320,30
7770,38790,69810,31020,30
38502,38970,39438,468,18
36810,38970,41130,2160,90
36234,38970,41706,2736,18
34110,38970,43830,4860,90
33966,38970,43974,5004,18
33030,38970,44910,5940,90
32994,38970,44946,5976,18
31806,38970,46134,7164,18
30186,38970,47754,8784,18
28098,38970,49842,10872,18
27918,38970,50022,11052,18
22302,38970,55638,16668,18
20130,38970,57810,18840,30
38766,39186,39606,420,42
38502,39186,39870,684,18
37962,39186,40410,1224,18
36918,39186,41454,2268,126
33894,39186,44478,5292,126
33306,39186,45066,5880,42
33138,39186,45234,6048,126
33030,39186,45342,6156,18
32370,39186,46002,6816,6
31626,39186,46746,7560,126
30114,39186,48258,9072,126
29358,39186,49014,9828,126
28530,39186,49842,10656,18
27750,39186,50622,11436,6
24066,39186,54306,15120,126
23058,39186,55314,16128,126
22134,39186,56238,17052,42
20286,39186,58086,18900,126
20034,39186,58338,19152,126
15498,39186,62874,23688,126
14994,39186,63378,24192,126
9030,39186,69342,30156,42
5850,39186,72522,33336,18
5130,39186,73242,34056,18
4830,39186,73542,34356,42
4410,39186,73962,34776,126
38790,39390,39990,600,30
37290,39390,41490,2100,30
35670,39390,43110,3720,30
34710,39390,44070,4680,390
33306,39390,45474,6084,78
32382,39390,46398,7008,6
31746,39390,47034,7644,78
30186,39390,48594,9204,78
25350,39390,53430,14040,390
23142,39390,55638,16248,6
21294,39390,57486,18096,78
15210,39390,63570,24180,390
8970,39390,69810,30420,390
8910,39390,69870,30480,30
37758,39438,41118,1680,42
37206,39438,41670,2232,18
36810,39438,42066,2628,18
35742,39438,43134,3696,42
35658,39438,43218,3780,126
35046,39438,43830,4392,18
34902,39438,43974,4536,126
33966,39438,44910,5472,18
30330,39438,48546,9108,18
28854,39438,50022,10584,126
27990,39438,50886,11448,18
27630,39438,51246,11808,18
25470,39438,53406,13968,18
25074,39438,53802,14364,126
24318,39438,54558,15120,126
23058,39438,55818,16380,126
22638,39438,56238,16800,42
22302,39438,56574,17136,126
21390,39438,57486,18048,6
21294,39438,57582,18144,126
20034,39438,58842,19404,126
18522,39438,60354,20916,126
18090,39438,60786,21348,18
15498,39438,63378,23940,126
8910,39438,69966,30528,18
6210,39438,72666,33228,18
4830,39438,74046,34608,42
37890,39510,41130,1620,90
37638,39510,41382,1872,18
37290,39510,41730,2220,30
35670,39510,43350,3840,30
35046,39510,43974,4464,18
34902,39510,44118,4608,18
34110,39510,44910,5400,90
28098,39510,50922,11412,18
25974,39510,53046,13536,18
20130,39510,58890,19380,30
16254,39510,62766,23256,18
13110,39510,65910,26400,30
7770,39510,71250,31740,30
4290,39510,74730,35220,30
37830,39606,41382,1776,6
37758,39606,41454,1848,42
34146,39606,45066,5460,42
33894,39606,45318,5712,42
32214,39606,46998,7392,42
31482,39606,47730,8124,6
30954,39606,48258,8652,42
29526,39606,49686,10080,42
29370,39606,49842,10236,6
26418,39606,52794,13188,42
25290,39606,53922,14316,6
24066,39606,55146,15540,42
22638,39606,56574,16968,42
15834,39606,63378,23772,42
15498,39606,63714,24108,1722
13566,39606,65646,26040,42
10290,39606,68922,29316,42
9870,39606,69342,29736,42
9030,39606,70182,30576,42
6510,39606,72702,33096,42
5610,39606,73602,33996,6
5250,39606,73962,34356,42
39606,39798,39990,192,6
39186,39798,40410,612,18
37926,39798,41670,1872,18
37890,39798,41706,1908,18
35574,39798,44022,4224,66
35406,39798,44190,4392,18
29754,39798,49842,10044,54
28182,39798,51414,11616,66
27258,39798,52338,12540,66
25290,39798,54306,14508,18
23430,39798,56166,16368,66
22110,39798,57486,17688,4422
21330,39798,58266,18468,54
20706,39798,58890,19092,6
16254,39798,63342,23544,54
13950,39798,65646,25848,18
10962,39798,68634,28836,54
10890,39798,68706,28908,198
8250,39798,71346,31548,66
7650,39798,71946,32148,18
37206,39858,42510,2652,78
36582,39858,43134,3276,546
36498,39858,43218,3360,42
35742,39858,43974,4116,42
30186,39858,49530,9672,78
28182,39858,51534,11676,42
27390,39858,52326,12468,6
23142,39858,56574,16716,42
22134,39858,57582,17724,42
21294,39858,58422,18564,546
20034,39858,59682,19824,42
18522,39858,61194,21336,42
18354,39858,61362,21504,42
9750,39858,69966,30108,78
7770,39858,71946,32088,42
3990,39858,75726,35868,42
37830,39870,41910,2040,30
37710,39870,42030,2160,90
36918,39870,42822,2952,18
36018,39870,43722,3852,18
35670,39870,44070,4200,30
34470,39870,45270,5400,90
32994,39870,46746,6876,18
32010,39870,47730,7860,30
31482,39870,48258,8388,18
28854,39870,50886,11016,18
25530,39870,54210,14340,30
23166,39870,56574,16704,18
17766,39870,61974,22104,18
9870,39870,69870,30000,30
38130,39930,41730,1800,30
37830,39930,42030,2100,30
35742,39930,44118,4188,6
35670,39930,44190,4260,30
33726,39930,46134,6204,66
32802,39930,47058,7128,66
30330,39930,49530,9600,30
26970,39930,52890,12960,30
21750,39930,58110,18180,30
18942,39930,60918,20988,66
13950,39930,65910,25980,30
9990,39930,69870,29940,30
8970,39930,70890,30960,30
8610,39930,71250,31320,30
5130,39930,74730,34800,30
38766,39942,41118,1176,42
38502,39942,41382,1440,18
38346,39942,41538,1596,42
37710,39942,42174,2232,18
35730,39942,44154,4212,18
35406,39942,44478,4536,126
34410,39942,45474,5532,6
33138,39942,46746,6804,126
31626,39942,48258,8316,126
30186,39942,49698,9756,18
29946,39942,49938,9996,42
29358,39942,50526,10584,126
28170,39942,51714,11772,18
26622,39942,53262,13320,18
24738,39942,55146,15204,42
24066,39942,55818,15876,126
22638,39942,57246,17304,42
22302,39942,57582,17640,126
21870,39942,58014,18072,18
18522,39942,61362,21420,126
17250,39942,62634,22692,6
13986,39942,65898,25956,126
11718,39942,68166,28224,126
11250,39942,68634,28692,18
10962,39942,68922,28980,126
9990,39942,69894,29952,18
7770,39942,72114,32172,42
4410,39942,75474,35532,126
34710,39990,45270,5280,30
34470,39990,45510,5520,30
31806,39990,48174,8184,186
29358,39990,50622,10632,6
21870,39990,58110,18120,30
21714,39990,58266,18276,6
19350,39990,60630,20640,1290
5250,39990,74730,34740,30
3990,39990,75990,36000,30
37830,40170,42510,2340,390
37206,40170,43134,2964,78
33306,40170,47034,6864,78
31746,40170,48594,8424,78
30810,40170,49530,9360,390
28170,40170,52170,12000,30
28014,40170,52326,12156,6
26418,40170,53922,13752,6
24354,40170,55986,15816,6
19710,40170,60630,20460,30
15210,40170,65130,24960,390
12558,40170,67782,27612,78
5610,40170,74730,34560,30
39438,40410,41382,972,18
38790,40410,42030,1620,90
37710,40410,43110,2700,90
35310,40410,45510,5100,30
31806,40410,49014,8604,18
27390,40410,53430,13020,30
25974,40410,54846,14436,18
20034,40410,60786,20376,18
17250,40410,63570,23160,30
11718,40410,69102,28692,18
6090,40410,74730,34320,30
4830,40410,75990,35580,30
40170,41118,42066,948,6
37758,41118,44478,3360,42
37290,41118,44946,3828,66
36918,41118,45318,4200,42
36234,41118,46002,4884,66
35178,41118,47058,5940,66
33990,41118,48246,7128,66
32214,41118,50022,8904,42
28854,41118,53382,12264,42
28314,41118,53922,12804,66
27390,41118,54846,13728,66
26418,41118,55818,14700,42
26070,41118,56166,15048,66
19470,41118,62766,21648,66
18522,41118,63714,22596,42
10890,41118,71346,30228,66
10290,41118,71946,30828,42
6510,41118,75726,34608,42
6090,41118,76146,35028,42
4410,41118,77826,36708,42
39798,41130,42462,1332,18
39438,41130,42822,1692,18
37026,41130,45234,4104,18
36918,41130,45342,4212,18
36018,41130,46242,5112,18
30186,41130,52074,10944,18
29526,41130,52734,11604,6
29370,41130,52890,11760,30
28854,41130,53406,12276,18
28602,41130,53658,12528,18
28458,41130,53802,12672,18
26622,41130,55638,14508,18
24318,41130,57942,16812,18
20286,41130,61974,20844,18
15246,41130,67014,25884,18
14790,41130,67470,26340,30
11466,41130,70794,29664,18
6270,41130,75990,34860,30
5250,41130,77010,35880,30
39942,41382,42822,1440,18
38790,41382,43974,2592,18
37290,41382,45474,4092,66
36810,41382,45954,4572,18
36018,41382,46746,5364,18
35730,41382,47034,5652,18
35046,41382,47718,6336,198
35010,41382,47754,6372,18
31230,41382,51534,10152,18
29358,41382,53406,12024,18
28458,41382,54306,12924,18
27918,41382,54846,13464,198
24822,41382,57942,16560,18
24390,41382,58374,16992,18
23430,41382,59334,17952,66
23250,41382,59514,18132,6
22410,41382,60354,18972,18
22134,41382,60630,19248,6
20286,41382,62478,21096,18
20130,41382,62634,21252,66
11070,41382,71694,30312,18
9990,41382,72774,31392,18
8910,41382,73854,32472,198
7590,41382,75174,33792,66
4290,41382,78474,37092,66
41130,41418,41706,288,18
38766,41418,44070,2652,78
38682,41418,44154,2736,18
37926,41418,44910,3492,18
37890,41418,44946,3528,18
36090,41418,46746,5328,18
33306,41418,49530,8112,78
33138,41418,49698,8280,18
32994,41418,49842,8424,702
32310,41418,50526,9108,18
32214,41418,50622,9204,4602
31746,41418,51090,9672,78
29946,41418,52890,11472,6
29790,41418,53046,11628,18
28530,41418,54306,12888,18
27990,41418,54846,13428,18
25974,41418,56862,15444,702
25350,41418,57486,16068,78
24822,41418,58014,16596,18
16926,41418,65910,24492,78
15498,41418,67338,25920,54
12558,41418,70278,28860,78
10890,41418,71946,30528,18
4290,41418,78546,37128,78
39798,41454,43110,1656,18
39186,41454,43722,2268,126
38790,41454,44118,2664,18
37962,41454,44946,3492,18
37638,41454,45270,3816,18
35178,41454,47730,6276,6
33894,41454,49014,7560,126
32382,41454,50526,9072,126
30114,41454,52794,11340,126
29946,41454,52962,11508,42
29526,41454,53382,11928,42
28602,41454,54306,12852,126
24822,41454,58086,16632,126
24486,41454,58422,16968,42
24066,41454,58842,17388,126
21714,41454,61194,19740,1974
21330,41454,61578,20124,18
20034,41454,62874,21420,126
13986,41454,68922,27468,126
13566,41454,69342,27888,42
11070,41454,71838,30384,18
10962,41454,71946,30492,126
9870,41454,73038,31584,1974
6510,41454,76398,34944,42
39870,41490,43110,1620,90
38790,41490,44190,2700,90
38502,41490,44478,2988,18
37710,41490,45270,3780,90
37638,41490,45342,3852,18
37026,41490,45954,4464,18
36582,41490,46398,4908,6
36234,41490,46746,5256,18
35658,41490,47322,5832,18
33966,41490,49014,7524,18
33138,41490,49842,8352,18
30810,41490,52170,10680,30
30186,41490,52794,11304,18
24090,41490,58890,17400,30
21750,41490,61230,19740,30
16254,41490,66726,25236,18
13110,41490,69870,28380,30
11730,41490,71250,29760,30
8250,41490,74730,33240,30
39942,41538,43134,1596,42
39858,41538,43218,1680,42
38130,41538,44946,3408,6
37758,41538,45318,3780,42
36018,41538,47058,5520,138
34902,41538,48174,6636,42
33138,41538,49938,8400,42
32190,41538,50886,9348,6
30186,41538,52890,11352,258
30114,41538,52962,11424,42
27258,41538,55818,14280,42
24738,41538,58338,16800,42
21714,41538,61362,19824,42
18942,41538,64134,22596,42
16254,41538,66822,25284,1806
13110,41538,69966,28428,138
11730,41538,71346,29808,138
10962,41538,72114,30576,42
9030,41538,74046,32508,1806
7350,41538,75726,34188,42
5250,41538,77826,36288,42
39990,41670,43350,1680,30
39510,41670,43830,2160,90
39186,41670,44154,2484,18
37830,41670,45510,3840,30
37206,41670,46134,4464,18
36018,41670,47322,5652,18
31806,41670,51534,9864,18
31626,41670,51714,10044,18
25542,41670,57798,16128,18
25530,41670,57810,16140,30
25074,41670,58266,16596,18
22110,41670,61230,19560,30
20706,41670,62634,20964,6
16530,41670,66810,25140,30
15246,41670,68094,26424,18
8610,41670,74730,33060,30
7350,41670,75990,34320,30
3990,41670,79350,37680,30
41382,41706,42030,324,18
39438,41706,43974,2268,126
39390,41706,44022,2316,6
38502,41706,44910,3204,18
38346,41706,45066,3360,42
36090,41706,47322,5616,18
35658,41706,47754,6048,126
33726,41706,49686,7980,42
33570,41706,49842,8136,18
30366,41706,53046,11340,126
29754,41706,53658,11952,18
28854,41706,54558,12852,126
28098,41706,55314,13608,126
25470,41706,57942,16236,18
25074,41706,58338,16632,126
23058,41706,60354,18648,126
21714,41706,61698,19992,42
20034,41706,63378,21672,126
17766,41706,65646,23940,126
15246,41706,68166,26460,126
14310,41706,69102,27396,18
11718,41706,71694,29988,126
11466,41706,71946,30240,126
10890,41706,72522,30816,18
9870,41706,73542,31836,42
6270,41706,77142,35436,6
39438,41730,44022,2292,6
39390,41730,44070,2340,390
35742,41730,47718,5988,6
35730,41730,47730,6000,30
32370,41730,51090,9360,390
32214,41730,51246,9516,78
31746,41730,51714,9984,78
28314,41730,55146,13416,78
25974,41730,57486,15756,78
25350,41730,58110,16380,390
19710,41730,63750,22020,30
16650,41730,66810,25080,30
13566,41730,69894,28164,6
39990,41910,43830,1920,30
39798,41910,44022,2112,66
38502,41910,45318,3408,6
38346,41910,45474,3564,66
36498,41910,47322,5412,66
36090,41910,47730,5820,30
35574,41910,48246,6336,66
31746,41910,52074,10164,66
31482,41910,52338,10428,66
28182,41910,55638,13728,66
24930,41910,58890,16980,30
24486,41910,59334,17424,66
13950,41910,69870,27960,30
39990,42030,44070,2040,30
39942,42030,44118,2088,18
39870,42030,44190,2160,90
38790,42030,45270,3240,90
37926,42030,46134,4104,18
37026,42030,47034,5004,18
35046,42030,49014,6984,18
33138,42030,50922,8892,18
29754,42030,54306,12276,18
28602,42030,55458,13428,18
25974,42030,58086,16056,18
23430,42030,60630,18600,30
23142,42030,60918,18888,6
21294,42030,62766,20736,18
18522,42030,65538,23508,18
18414,42030,65646,23616,18
17250,42030,66810,24780,30
14250,42030,69810,27780,30
40410,42066,43722,1656,18
39942,42066,44190,2124,18
39186,42066,44946,2880,18
38790,42066,45342,3276,18
38130,42066,46002,3936,246
37890,42066,46242,4176,18
36810,42066,47322,5256,18
34110,42066,50022,7956,18
31806,42066,52326,10260,1026
30330,42066,53802,11736,18
28314,42066,55818,13752,18
28098,42066,56034,13968,18
25290,42066,58842,16776,18
15498,42066,68634,26568,2214
15210,42066,68922,26856,18
14790,42066,69342,27276,6
13950,42066,70182,28116,18
11610,42066,72522,30456,54
11466,42066,72666,30600,18
10890,42066,73242,31176,18
7650,42066,76482,34416,18
41130,42174,43218,1044,18
39870,42174,44478,2304,18
39438,42174,44910,2736,18
38346,42174,46002,3828,66
37290,42174,47058,4884,66
37026,42174,47322,5148,198
36090,42174,48258,6084,18
34410,42174,49938,7764,6
33726,42174,50622,8448,66
32310,42174,52038,9864,18
